PlatePosition,PCR,ID,OldName,MergedName,NewName
G5,pcr1,G5-pcr1,mosquito_4_-_101817_pcr1,mosquito_4_-_101817,mosquito_4_-_101817_pcr1
G5,pcr2,G5-pcr2,demux_negative_control_pcr2,demux_negative_control,demux_negative_control_pcr2
G6,pcr1,G6-pcr1,brain_ifn--_red_needle_pcr1,brain_ifn--_red_needle,brain_ifn--_red_needle_pcr1
G7,pcr1,G7-pcr1,spinal_cord_ifn--_red_needle_pcr1,spinal_cord_ifn--_red_needle,spinal_cord_ifn--_red_needle_pcr1
G8,pcr1,G8-pcr1,reproductive_ifn--_red_needle_g8_pcr1,reproductive_ifn--_red_needle,reproductive_ifn--_red_needle_pcr1
G9,pcr1,G9-pcr1,kidneys_ifn--_red_needle_pcr1,kidneys_ifn--_red_needle,kidneys_ifn--_red_needle_pcr1
H1,pcr1,H1-pcr1,brain_ifn--_red-b-red_transmission_h1_pcr1,brain_ifn--_red-b-red_transmission,brain_ifn--_red-b-red_transmission_pcr1
H2,pcr1,H2-pcr1,spinal_cord_fn--_red-b-red_transmission_pcr1,spinal_cord_fn--_red-b-red_transmission,spinal_cord_fn--_red-b-red_transmission_pcr1
H3,pcr1,H3-pcr1,kidneys_fn--_red-b-red_transmission_pcr1,kidneys_fn--_red-b-red_transmission,kidneys_fn--_red-b-red_transmission_pcr1
H4,pcr1,H4-pcr1,liver_fn--_red-b-red_transmission_pcr1,liver_fn--_red-b-red_transmission,liver_fn--_red-b-red_transmission_pcr1
H5,pcr1,H5-pcr1,spleen_fn--_red-b-red_transmission_h5_pcr1,spleen_fn--_red-b-red_transmission,spleen_fn--_red-b-red_transmission_pcr1
H6,pcr1,H6-pcr1,negative_control_te_pcr1,negative_control_te,negative_control_te_pcr1
H7,pcr1,H7-pcr1,demux_negative_control_pcr1,demux_negative_control,demux_negative_control_pcr1
